artist,date,time,city,title,type
金圣权,2019-05-18,19:30,纽约,我，堂吉诃德,stage
丁辉,2019-04-20,19:30,上海,暗恋桃花源,stage
周深,2019-11-30,19:30,深圳,C-929星球,concert
龚子棋,2019-10-31,19:30,广州,亦X不染,concert
洪之光,2019-04-12,19:30,北京,东方歌舞一枝花,concert
方书剑,2019-07-25,19:30,青岛,我的遗愿清单,stage
周深,2019-04-23,19:30,上海,不说再见,concert
石凯,2019-05-03,19:30,成都,保利ART音乐节,concert
仝卓,2019-05-07,19:30,合肥,声入人心巡演,concert
高杨,2019-05-03,19:30,成都,保利ART音乐节,concert
方书剑,2019-08-06,19:30,北京,我的遗愿清单,stage
鞠红川,2019-12-21,19:30,重庆,长江三峡网络音乐节,concert
郑云龙,2019-07-20,19:30,上海,我们剧场见(GALA),concert
刘彬濠,2019-06-21,19:30,北京,不说再见,concert
周深,2019-11-01,19:00,南京,陈情令国风音乐演唱会,concert
李彦锋,2019-05-11,19:30,厦门,五弦跨界中提琴音乐会,concert
郑云龙,2019-06-21,19:30,北京,不说再见,concert
龚子棋,2019-12-14,19:30,深圳,音乐剧演员GALA,concert
丁辉,2019-06-22,19:30,上海,幺幺洞捌,stage
翟李朔天,2019-12-06,19:30,北京,人生首席,concert
郑云龙,2019-09-14,19:30,北京,德龄与慈禧,stage
丁辉,2019-09-28,14:30,上海,暗恋桃花源,stage
王凯,2019-04-23,19:30,上海,不说再见,concert
王凯,2019-02-19,19:00,海口,元宵乐舞换花节,concert
方书剑,2019-06-21,19:30,北京,不说再见,concert
洪之光,2019-11-30,19:30,杭州,九九艳阳天,stage
郑云龙,2019-05-25,19:30,上海,云上之声,concert
王凯,2019-10-02,19:00,宿迁,共和国日记大型视听交响音乐会,concert
梁朋杰,2019-07-23,19:30,武汉,你眼里的蓝,concert
李向哲,2019-11-17,-,上海,音浪合伙人盛典,concert
翟李朔天,2019-05-11,19:30,合肥,深夜食堂,stage
洪之光,2019-07-12,19:30,北京,东方歌舞一枝花,concert
陈博豪,2019-07-28,19:30,昆明,你眼里的蓝,concert
廖昌永,2019-01-13,20:00,广州,记忆乡愁,concert
方书剑,2019-08-09,19:30,深圳,信,stage
高杨,2019-11-10,19:30,上海,长腿叔叔,stage
丁辉,2019-06-16,19:30,上海,幺幺洞捌,stage
洪之光,2019-11-17,19:30,诸暨,保利ART音乐盛典,concert
周深,2019-12-31,19:30,上海,梦圆东方2020跨年盛典,concert
余笛,2019-05-26,19:30,上海,云上之声,concert
翟李朔天,2019-04-12,19:30,上海,深夜食堂,stage
马佳,2019-06-08,19:30,北京,你眼里的蓝,concert
马佳,2019-06-21,20:00,深圳,你眼里的蓝,concert
梁朋杰,2019-08-31,19:30,上海,泰爱你,stage
王凯,2019-11-23,19:30,重庆,声入山城,concert
刘彬濠,2019-12-06,19:30,北京,人生首席,concert
马佳,2019-04-20,19:30,北京,岁月如歌·中国电影乐团建团70周年特别音乐会,concert
方书剑,2019-05-28,19:30,南京,声入人心巡演,concert
方书剑,2019-10-13,19:30,天津,我的遗愿清单,stage
廖佳琳,2019-08-14,19:30,上海,你眼里的蓝,concert
高天鹤,2019-05-05,19:30,常州,声入人心巡演,concert
丁辉,2019-10-18,19:30,重庆,我的遗愿清单,stage
翟李朔天,2019-09-20,19:00,长春,致敬祖国交响演唱会,concert
丁辉,2019-03-16,19:30,上海,暗恋桃花源,stage
方书剑,2019-08-14,19:30,杭州,我的遗愿清单,stage
周深,2019-06-12,20:00,新加坡,客逢狮城献温情·慈善演唱会,concert
周深,2019-12-14,19:30,成都,C-929星球,concert
刘彬濠,2019-11-23,14:30,上海,帅小伙的蔬果店,stage
龚子棋,2019-04-25,19:30,上海,信,stage
马佳,2019-07-20,19:30,大连,Cherish珍晰,concert
丁辉,2019-03-07,19:30,上海,暗恋桃花源,stage
陈博豪,2019-08-16,19:30,西安,你眼里的蓝,concert
梁朋杰,2019-05-22,19:30,厦门,声入人心巡演,concert
郑云龙,2019-01-18,19:30,上海,谋杀歌谣,stage
郑云龙,2019-11-03,19:30,上海,摇滚年代,stage
翟李朔天,2019-04-06,19:30,石家庄,深夜食堂,stage
贾凡,2019-05-25,19:30,上海,云上之声,concert
蔡尧,2019-07-27,19:30,长沙,亦X不染,concert
王晰,2019-09-27,19:30,北京,亦X不染,concert
洪之光,2019-12-01,19:30,杭州,九九艳阳天,stage
贾凡,2019-06-08,19:30,北京,你眼里的蓝,concert
翟李朔天,2019-06-07,19:30,上海,泰爱你,stage
阿云嘎,2019-12-06,19:30,北京,人生首席,concert
郑云龙,2019-05-03,14:00,上海,漫长的告白,stage
金圣权,2019-11-27,19:30,上海,帅小伙的蔬果店,stage
黄子弘凡,2019-08-02,19:30,重庆,你眼里的蓝,concert
高杨,2019-07-28,19:30,广州,长腿叔叔,stage
丁辉,2019-07-09,19:30,北京,长腿叔叔,stage
王晰,2019-12-21,19:30,厦门,Cherish珍晰,concert
王晰,2019-09-29,19:30,深圳,爱我中华文艺晚会,concert
刘彬濠,2019-04-30,19:30,武汉,亦X不染,concert
丁辉,2019-10-29,17:30,乌镇,幺幺洞捌,stage
梁朋杰,2019-11-22,19:30,上海,帅小伙的蔬果店,stage
金圣权,2019-11-21,19:30,上海,帅小伙的蔬果店,stage
陆宇鹏,2019-05-20,19:30,杭州,声入人心巡演,concert
简弘亦,2019-09-29,19:30,深圳,爱我中华文艺晚会,concert
贾凡,2019-04-26,19:30,青岛,声入人心巡演,concert
鞠红川,2019-12-31,19:30,海口,跨年演唱会,concert
蔡尧,2019-05-03,19:30,成都,保利ART音乐节,concert
贾凡,2019-12-31,21:00,海口,跨年演唱会,concert
贾凡,2019-12-28,19:00,北京,北京交通频道26周年听众欢乐会,concert
郑云龙,2019-04-20,14:30,上海,信,stage
方书剑,2019-10-30,14:00,上海,追寻,stage
方书剑,2019-07-17,19:30,上海,梵高,stage
高杨,2019-07-25,19:30,广州,长腿叔叔,stage
丁辉,2019-06-22,14:30,上海,幺幺洞捌,stage
洪之光,2019-06-13,19:00,太原,高雅艺术进校园,concert
陆宇鹏,2019-11-03,19:30,北京,音乐之声,stage
翟李朔天,2019-10-02,19:00,宿迁,共和国日记大型视听交响音乐会,concert
鞠红川,2019-06-02,19:30,上海,声入人心巡演,concert
梁朋杰,2019-12-28,14:30,上海,音乐之声,stage
高杨,2019-05-31,19:30,宁波,声入人心巡演,concert
王凯,2019-08-16,19:30,北京,国家大剧院驻院歌剧演员音乐会,concert
陈博豪,2019-08-25,20:00,深圳,你眼里的蓝,concert
龚子棋,2019-12-06,19:30,北京,人生首席,concert
丁辉,2019-04-20,14:30,上海,暗恋桃花源,stage
丁辉,2019-12-19,19:00,上海,曾经如是,stage
陆宇鹏,2019-10-24,19:30,上海,音乐之声,stage
方书剑,2019-08-22,19:30,上海,信,stage
王晰,2019-12-01,19:30,佛山,Cherish珍晰,concert
贾凡,2019-11-08,19:45,西安,保利ART音乐节,concert
翟李朔天,2019-04-27,19:30,厦门,深夜食堂,stage
高杨,2019-07-28,14:00,广州,长腿叔叔,stage
张超,2019-05-09,19:30,武汉,声入人心巡演,concert
马佳,2019-06-14,19:30,成都,你眼里的蓝,concert
廖佳琳,2019-02-19,19:00,海口,元宵乐舞换花节,concert
郑云龙,2019-06-02,19:30,上海,声入人心巡演,concert
梁朋杰,2019-05-03,19:30,成都,保利ART音乐节,concert
方书剑,2019-06-15,19:30,西安,我的遗愿清单,stage
王凯,2019-08-31,19:30,北京,婚礼组歌发布音乐会,concert
张超,2019-05-26,19:30,无锡,声入人心巡演,concert
王晰,2019-07-20,19:30,大连,Cherish珍晰,concert
廖佳琳,2019-09-30,19:30,长沙,省会大学生文艺汇演,concert
翟李朔天,2019-07-17,19:30,上海,梵高,stage
贾凡,2019-08-16,19:30,北京,Cherish珍晰,concert
阿云嘎,2019-10-16,19:30,北京,因楽聚,concert
廖佳琳,2019-10-02,19:00,宿迁,共和国日记大型视听交响音乐会,concert
廖昌永,2019-12-15,-,上海,上海大学生校园歌会,concert
王晰,2019-06-14,19:30,成都,你眼里的蓝,concert
