artist,date,time,city,state,title,type
龚子棋,2019-08-09,19:30,深圳,广东,信,stage
方书剑,2019-12-14,19:30,佛山,广东,我的遗愿清单,stage
龚子棋,2019-08-31,19:30,成都,四川,信,stage
郑云龙,2019-01-20,19:30,上海,上海,谋杀歌谣,stage
洪之光,2019-06-09,20:00,海口,海南,美丽中国,stage
翟李朔天,2019-07-21,19:30,上海,上海,梵高,stage
梁朋杰,2019-06-06,19:30,上海,上海,泰爱你,stage
余笛,2019-12-25,19:30,上海,上海,火焰,stage
郑云龙,2019-11-03,14:30,上海,上海,摇滚年代,stage
梁朋杰,2019-11-23,14:30,上海,上海,帅小伙的蔬果店,stage
翟李朔天,2019-08-31,19:30,上海,上海,泰爱你,stage
丁辉,2019-07-07,14:00,北京,北京,长腿叔叔,stage
龚子棋,2019-12-25,19:30,上海,上海,火焰,stage
郑云龙,2019-10-31,19:30,上海,上海,摇滚年代,stage
丁辉,2019-09-21,19:30,上海,上海,暗恋桃花源,stage
陆宇鹏,2019-07-13,14:30,上海,上海,梵高,stage
方书剑,2019-06-08,14:30,长沙,湖南,我的遗愿清单,stage
梁朋杰,2019-12-27,19:30,上海,上海,音乐之声,stage
丁辉,2019-09-20,19:30,上海,上海,暗恋桃花源,stage
龚子棋,2019-08-16,19:30,无锡,江苏,信,stage
方书剑,2019-07-14,14:30,上海,上海,梵高,stage
方书剑,2019-05-26,14:00,上海,上海,我的遗愿清单,stage
高杨,2019-12-14,19:30,宁波,浙江,长腿叔叔,stage
郑云龙,2019-05-05,19:30,上海,上海,漫长的告白,stage
丁辉,2019-09-26,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-07-13,19:30,上海,上海,梵高,stage
高杨,2019-06-29,19:30,上海,上海,长腿叔叔,stage
郑云龙,2019-04-21,19:30,上海,上海,信,stage
梁朋杰,2019-12-29,19:30,上海,上海,音乐之声,stage
方书剑,2019-11-12,14:00,上海,上海,追寻,stage
丁辉,2019-10-04,19:30,上海,上海,暗恋桃花源,stage
翟李朔天,2019-04-13,14:00,上海,上海,深夜食堂,stage
高杨,2019-07-16,19:30,深圳,广东,长腿叔叔,stage
金圣权,2019-11-30,14:30,上海,上海,帅小伙的蔬果店,stage
龚子棋,2019-08-10,19:30,深圳,广东,信,stage
梁朋杰,2019-11-21,19:30,上海,上海,帅小伙的蔬果店,stage
丁辉,2019-12-12,19:00,上海,上海,曾经如是,stage
方书剑,2019-11-30,20:00,海口,海南,我的遗愿清单,stage
刘彬濠,2019-11-27,19:30,上海,上海,帅小伙的蔬果店,stage
梁朋杰,2019-09-01,19:30,上海,上海,泰爱你,stage
龚子棋,2019-08-10,14:30,深圳,广东,信,stage
方书剑,2019-09-14,19:30,厦门,福建,我的遗愿清单,stage
陆宇鹏,2019-07-14,19:30,上海,上海,梵高,stage
方书剑,2019-08-16,19:30,无锡,江苏,信,stage
王凯,2019-06-01,19:30,北京,北京,白雪公主,stage
丁辉,2019-12-22,15:00,上海,上海,曾经如是,stage
丁辉,2019-09-19,19:30,上海,上海,暗恋桃花源,stage
丁辉,2019-03-15,19:30,上海,上海,暗恋桃花源,stage
方书剑,2019-11-24,15:00,南宁,广西,我的遗愿清单,stage
梁朋杰,2019-11-02,14:30,北京,北京,音乐之声,stage
丁辉,2019-12-13,19:00,上海,上海,曾经如是,stage
翟李朔天,2019-09-01,14:30,上海,上海,泰爱你,stage
丁辉,2019-10-10,19:30,上海,上海,暗恋桃花源,stage
丁辉,2019-06-19,19:30,上海,上海,幺幺洞捌,stage
陆宇鹏,2019-10-23,19:30,上海,上海,音乐之声,stage
贾凡,2019-12-25,19:30,苏州,江苏,九九艳阳天,stage
陆宇鹏,2019-11-06,19:30,北京,北京,音乐之声,stage
陆宇鹏,2019-11-10,14:30,北京,北京,音乐之声,stage
梁朋杰,2019-11-30,14:30,上海,上海,帅小伙的蔬果店,stage
梁朋杰,2019-11-30,19:30,上海,上海,帅小伙的蔬果店,stage
翟李朔天,2019-09-01,19:30,上海,上海,泰爱你,stage
郑云龙,2019-01-15,19:30,上海,上海,谋杀歌谣,stage
郑云龙,2019-05-05,14:00,上海,上海,漫长的告白,stage
翟李朔天,2019-03-30,19:30,上海,上海,因味爱，所以爱,stage
金圣权,2019-12-01,14:30,上海,上海,帅小伙的蔬果店,stage
丁辉,2019-03-16,14:30,上海,上海,暗恋桃花源,stage
陆宇鹏,2019-11-09,19:30,北京,北京,音乐之声,stage
丁辉,2019-12-20,19:00,上海,上海,曾经如是,stage
郑云龙,2019-05-16,19:30,青岛,山东,信,stage
方书剑,2019-10-01,19:30,上海,上海,春上海1949,stage
王凯,2019-05-30,19:30,北京,北京,白雪公主,stage
陆宇鹏,2019-11-10,19:30,北京,北京,音乐之声,stage
丁辉,2019-07-07,19:30,北京,北京,长腿叔叔,stage
丁辉,2019-12-10,19:00,上海,上海,曾经如是,stage
郑云龙,2019-03-08,19:30,北京,北京,谋杀歌谣,stage
梁朋杰,2019-06-07,19:30,上海,上海,泰爱你,stage
方书剑,2019-10-05,19:30,烟台,山东,我的遗愿清单,stage
翟李朔天,2019-05-04,19:30,深圳,广东,深夜食堂,stage
梁朋杰,2019-06-09,19:30,上海,上海,泰爱你,stage
洪之光,2019-04-26,19:30,北京,北京,美丽中国,stage
郑云龙,2019-03-07,19:30,北京,北京,谋杀歌谣,stage
高杨,2019-06-27,19:30,上海,上海,长腿叔叔,stage
郑云龙,2019-05-17,19:30,青岛,山东,信,stage
梁朋杰,2019-11-24,19:30,上海,上海,帅小伙的蔬果店,stage
翟李朔天,2019-04-06,19:30,石家庄,河北,深夜食堂,stage
